,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,win_rate
1467,MASTER,uNBP1HI8UTkDl6sy8swBBpSM0XJlZyjJfb_0W8rtjnsjda0,CreamMoN,134,311,296,False,False,False,False,51.236
1468,MASTER,7mQ7M-rTkewDj45m4v4AsxjFHZ6qW8jEVqbdGBekFbRZmvt1,keaishiwu,73,170,101,False,False,False,False,62.731
1469,MASTER,AhXLM4zfwNn0N-paRHfEyEjBz5oJLGtD2-d_JC73-akFUkI,tcover,163,654,597,False,False,True,False,52.278
1470,MASTER,Q6vfo-15mf0jqdV4oFd5BhFTZXmyHp1NDUbwOV2yLCbOSWA,풍뎅이 일병,114,331,320,True,False,False,False,50.845
1471,MASTER,BHZkkDMynJOZWtKXMWko4HXetPwkoGwj_2uI4HHgR2h8j4U,world dream,0,351,280,False,False,True,False,55.626
1472,MASTER,wYlaiTQUxOBrpWpQCRDUM1N8tCpqQpft3ijzOpjl-fvYfe39,나를막핥았자나,83,151,77,False,False,True,False,66.228
1473,MASTER,GvYPDBz7jG9r9s52ybmhrycZHQbMkzINRJHlRtKcqhEFwprk,lIlIlIllIllIlIIl,245,99,30,False,False,True,False,76.744
1474,MASTER,1EETX4vtrEbgWTWRkzhtass62UhNk-PfJLGw2JU3bGjZhPY,imchogosu,0,205,137,False,False,True,True,59.942
1475,MASTER,FbleU5o8CQ7TZwp86B1qPhvLN_0Kju1k3KuJgOuT5u7O0hw,sr kinggg,185,1002,923,True,False,False,False,52.052
1476,MASTER,3AcrKezoIPoAT_uZNbBlsiS8IKpqz7X0WfWuOo07fjoj2sE,kfo,286,689,659,True,False,False,False,51.113
1477,MASTER,FZPyolb5Phh6TZtbCtdT4lh7SQ2gf27Ayu-OTvMeCDtzbkQ,요들 망치 방패,15,461,451,False,False,True,False,50.548
1478,MASTER,LTq9lSUdSVyDqBPOjgf4cZFwlC6QJDfNoxW0_Vb2tETUEw,올라가자 포비야,131,616,601,False,False,False,False,50.616
1479,MASTER,HUjhcHbThguIhoOHmgN3IEJM5L64JU6mYknnBhiJal3EGtQ,크캣99,210,560,462,False,False,False,False,54.795
1480,MASTER,U9xeMex-WRcIYKg_RpaJ6CwEyQseC3X8GmsWw42_K-sJV6fN,유미원챔임미다,10,118,50,False,False,True,False,70.238
1481,MASTER,C9a-lRBCnUgtYwwOOMqC9440xQUtzuYjbbxsV8137YR4eMo,구덩이에빠졌다,210,413,334,True,False,False,False,55.288
1482,MASTER,-g_uYRghsGrqk5spW8hqT_uIHWp9reFp4-6ooabF1roc_EQ,절 리,17,102,34,False,False,True,False,75.0
1483,MASTER,uuN1hnjs0TIqk4n2mVqKOaWKdg-p6W7TxZGPrpCRZr_rT0U,GBK Ian,212,891,873,False,False,False,False,50.51
1484,MASTER,Dlu0wxm9RpMKvknhc3ItcAvuo8abDM7XrlbcOFruN1wd1ak,tianzhenyouxie,133,713,708,False,False,False,False,50.176
1485,MASTER,6gCIdlm0e6dJ95HlR8v6FO-WnsgVKt-MaxalcFOSLyOCMw,senan fan,0,303,275,False,False,True,False,52.422
1486,MASTER,JIBRY34NDYZoYaQCSM2ECdV1rj1u-YsXM1vkuNV3KumPjA,바텀만가는태훈이,0,249,215,False,False,True,False,53.664
1487,MASTER,ZH7ZMVnyUJrRtR_x_e3qjitcfalbUnqIlE7AnFY5QFW30To,이 V,223,120,76,False,False,False,False,61.224
1488,MASTER,VViP-yFDVJHzw9uJNlMdwycKjQk9EusfPifgIBwerOxMKa8,봉황열반 ,115,292,277,False,False,False,False,51.318
1489,MASTER,oYtqIxsJ7j_9vcCpUiA2qbjtPdnrkLe7g5beA26j_qpj7T4,Ricky ratS,226,674,650,False,False,False,False,50.906
1490,MASTER,9QC8E74tgb0Xtie7uTIxX2hAGjKFNhU5UyvZThl_szCMfO4,Ibuki Fuuko,228,554,454,True,False,False,False,54.96
1491,MASTER,-EnzXNvLqhHrRersB88nKm5A0Jy7aQsELsxRV9cXkrx9pfk,이지금 fan,136,180,156,False,False,False,False,53.571
1492,MASTER,78UtibGxoF98_GsJFI8bM6DAc1NGgVur5enARr5t0kzBsg,빠 켠,0,150,124,False,False,True,True,54.745
1493,MASTER,Q_5UClmJ25W1nfEZPY9r3oJfPHMiXI3xAOYtEaodRX7Xzi4,1998SUP zhaodui,247,262,225,False,False,False,False,53.799
1494,MASTER,UKw93GvyLcSsi6SHQNS1aGUOuJXuAKoLWSQyMkytPMttXZi5,become an Audult,70,129,58,False,False,False,False,68.984
1495,MASTER,VSdK6ZFVDzrnQYSohLxCRMPthAhl8EDxWK-rMZzAVsyS-Jc,tang wu tong,24,1413,1395,False,False,True,False,50.321
1496,MASTER,g5n3IrDKMHbWGU2aPmhO34PyeIqG61dyL0-QE4Jv2OJ7oNk,느긋한 북극곰,95,377,363,False,False,False,False,50.946
1497,MASTER,IK7_XCkNGYpBCVx_lfyx7EZ7ZuY1SYiC_8FoTkkE2EDaUQ,써큘러오피투,154,637,617,False,False,False,True,50.797
1498,MASTER,fM8xjDmZUsYU7LT0Y9jdZWSPsISmKG8GJmmBUL_PKsNKO78,DRXTESEDGFPXJDG,100,382,313,False,False,False,False,54.964
